"Title","DOI","Authors","Abstract","Year","Keywords","Type","database"
"Diversity in Natural Transformation Frequencies and Regulation across Vibrio Species","10.1128/mBio.02788-19","Simpson, CA; Podicheti, R; Rusch, DB; Dalia, AB; van Kessel, JC","In Vibrio species, chitin-induced natural transformation enables bacteria to take up DNA from the external environment and integrate it into their genome. Expression of the master competence regulator TfoX bypasses the need for chitin induction and drives expression of the genes required for competence in several Vibrio species. Here, we show that TfoX expression in Vibrio campbellii strains DS40M4 and NBRC 15631 enables high natural transformation frequencies. Conversely, transformation was not achieved in the model quorum-sensing strain V. campbellii BB120 (previously classified as Vibrio harveyi). Surprisingly, we find that quorum sensing is not required for transformation in V. campbellii DS40M4 or Vibrio parahaemolyticus in contrast to the established regulatory pathway in Vibrio cholerae in which quorum sensing is required to activate the competence regulator QstR. Similar to V. cholerae, expression of both QstR and TfoX is necessary for transformation in DS40M4. There is a wide disparity in transformation frequencies among even closely related Vibrio strains, with V. vulnificus having the lowest functional transformation frequency. Ectopic expression of both TfoX and QstR is sufficient to produce a significant increase in transformation frequency in Vibrio vulnificus. To explore differences in competence regulation, we used previously studied V. cholerae competence genes to inform a comparative genomics analysis coupled with transcriptomics. We find that transformation capability cannot necessarily be predicted by the level of gene conservation but rather correlates with competence gene expression following TfoX induction. Thus, we have uncovered notable species- and strain-level variations in the competence gene regulation pathway across the Vibrio genus. IMPORTANCE Naturally transformable, or competent, bacteria are able to take up DNA from their environment, a key method of horizontal gene transfer for acquisition of new DNA sequences. Our research shows that Vibrio species that inhabit marine environments exhibit a wide diversity in natural transformation capability ranging from nontransformability to high transformation rates in which 10% of cells measurably incorporate new DNA. We show that the role of regulatory systems controlling the expression of competence genes (e.g., quorum sensing) differs throughout both the species and strain levels. We explore natural transformation capabilities of Vibrio campbellii species which have been thus far uncharacterized and find novel regulation of competence. Expression of two key transcription factors, TfoX and QstR, is necessary to stimulate high levels of transformation in Vibrio campbellii and recover low rates of transformation in Vibrio vulnificus.",2019,"competence; natural transformation; vibrio; quorum sensing","Article","ISI"
"Autonomous adaptation to climate-driven change in marine biodiversity in a global marine hotspot","10.1007/s13280-019-01186-x","Pecl, GT; Ogier, E; Jennings, S; van Putten, I; Crawford, C; Fogarty, H; Frusher, S; Hobday, AJ; Keane, J; Lee, E; MacLeod, C; Mundy, C; Stuart-Smith, J; Tracey, S","While governments and natural resource managers grapple with how to respond to climatic changes, many marine-dependent individuals, organisations and user-groups in fast-changing regions of the world are already adjusting their behaviour to accommodate these. However, we have little information on the nature of these autonomous adaptations that are being initiated by resource user-groups. The east coast of Tasmania, Australia, is one of the world's fastest warming marine regions with extensive climate-driven changes in biodiversity already observed. We present and compare examples of autonomous adaptations from marine users of the region to provide insights into factors that may have constrained or facilitated the available range of autonomous adaptation options and discuss potential interactions with governmental planned adaptations. We aim to support effective adaptation by identifying the suite of changes that marine users are making largely without government or management intervention, i.e. autonomous adaptations, to better understand these and their potential interactions with formal adaptation strategies.",2019,"autonomous adaptation; climate change; indigenous knowledge; local knowledge; marine biodiversity; species redistribution","Article","ISI"
"Will life find a way? Evolution of marine species under global change","10.1111/eva.12418","Calosi, P; De Wit, P; Thor, P; Dupont, S","Projections of marine biodiversity and implementation of effective actions for its maintenance in the face of current rapid global environmental change are constrained by our limited understanding of species' adaptive responses, including transgenerational plasticity, epigenetics and natural selection. This special issue presents 13 novel studies, which employ experimental and modelling approaches to (i) investigate plastic and evolutionary responses of marine species to major global change drivers; (ii) ask relevant broad eco-evolutionary questions, implementing multiple species and populations studies; (iii) show the advantages of using advanced experimental designs and tools; (iv) construct novel model organisms for marine evolution; (v) help identifying future challenges for the field; and (vi) highlight the importance of incorporating existing evolutionary theory into management solutions for the marine realm. What emerges is that at least some populations of marine species have the ability to adapt to future global change conditions. However, marine organisms' capacity for adaptation appears finite, due to evolutionary trade-offs and possible rapid losses in genetic diversity. This further corroborates the idea that acquiring an evolutionary perspective on how marine life will respond to the selective pressure of future global changes will guide us in better identifying which conservation efforts will be most needed and most effective.",2016,"marine evolution; ocean warming; ocean acidification; salinity; phenotypic plasticity; local adaptation; rapid adaptation; epigenetics; evolutionary modeling; transgenerational responses; dna methylation; common garden experiment","Article","ISI"
"Complex signatures of genomic variation of two non-model marine species in a homogeneous environment","10.1186/s12864-018-4721-y","Nielsen, ES; Henriques, R; Toonen, RJ; Knapp, ISS; Guo, BC; von der Heyden, S","Background: Genomic tools are increasingly being used on non-model organisms to provide insights into population structure and variability, including signals of selection. However, most studies are carried out in regions with distinct environmental gradients or across large geographical areas, in which local adaptation is expected to occur. Therefore, the focus of this study is to characterize genomic variation and selective signals over short geographic areas within a largely homogeneous region. To assess adaptive signals between microhabitats within the rocky shore, we compared genomic variation between the Cape urchin (Parechinus angulosus), which is a low to mid-shore species, and the Granular limpet (Scutellastra granularis), a high shore specialist. Results: Using pooled restriction site associated DNA (RAD) sequencing, we described patterns of genomic variation and identified outlier loci in both species. We found relatively low numbers of outlier SNPs within each species, and identified outlier genes associated with different selective pressures than those previously identified in studies conducted over larger environmental gradients. The number of population-specific outlier loci differed between species, likely owing to differential selective pressures within the intertidal environment. Interestingly, the outlier loci were highly differentiated within the two northernmost populations for both species, suggesting that unique evolutionary forces are acting on marine invertebrates within this region. Conclusions: Our study provides a background for comparative genomic studies focused on non-model species, as well as a baseline for the adaptive potential of marine invertebrates along the South African west coast. We also discuss the caveats associated with Pool-seq and potential biases of sequencing coverage on downstream genomic metrics. The findings provide evidence of species-specific selective pressures within a homogeneous environment, and suggest that selective forces acting on small scales are just as crucial to acknowledge as those acting on larger scales. As a whole, our findings imply that future population genomic studies should expand from focusing on model organisms and/or studying heterogeneous regions to better understand the evolutionary processes shaping current and future biodiversity patterns, particularly when used in a comparative phylogeographic context.",2018,"genomics; rad-seq; comparative phylogeography; snp; local adaptation; population differentiation","Article","ISI"
"Local adaptation and oceanographic connectivity patterns explain genetic differentiation of a marine diatom across the North Sea-Baltic Sea salinity gradient","10.1111/mec.13208","Sjoqvist, C; Godhe, A; Jonsson, PR; Sundqvist, L; Kremp, A","Drivers of population genetic structure are still poorly understood in marine micro-organisms. We exploited the North Sea-Baltic Sea transition for investigating the seascape genetics of a marine diatom, Skeletonema marinoi. Eight polymorphic microsatellite loci were analysed in 354 individuals from ten locations to analyse population structure of the species along a 1500-km-long salinity gradient ranging from 3 to 30psu. To test for salinity adaptation, salinity reaction norms were determined for sets of strains originating from three different salinity regimes of the gradient. Modelled oceanographic connectivity was compared to directional relative migration by correlation analyses to examine oceanographic drivers. Population genetic analyses showed distinct genetic divergence of a low-salinity Baltic Sea population and a high-salinity North Sea population, coinciding with the most evident physical dispersal barrier in the area, the Danish Straits. Baltic Sea populations displayed reduced genetic diversity compared to North Sea populations. Growth optima of low salinity isolates were significantly lower than those of strains from higher native salinities, indicating local salinity adaptation. Although the North Sea-Baltic Sea transition was identified as a barrier to gene flow, migration between Baltic Sea and North Sea populations occurred. However, the presence of differentiated neutral markers on each side of the transition zone suggests that migrants are maladapted. It is concluded that local salinity adaptation, supported by oceanographic connectivity patterns creating an asymmetric migration pattern between the Baltic Sea and the North Sea, determines genetic differentiation patterns in the transition zone.",2015,"local adaptation; marine phytoplankton; oceanographic connectivity; population genetics","Article","ISI"
"Local thermal adaptation and limited gene flow constrain future climate responses of a marine ecosystem engineer","10.1111/eva.12909","Miller, AD; Coleman, MA; Clark, J; Cook, R; Naga, Z; Doblin, MA; Hoffmann, AA; Sherman, CDH; Bellgrove, A","Rising ocean temperatures and extreme temperature events have precipitated declines and local extinctions in many marine species globally, but patterns of loss are often uneven across species ranges for reasons that are poorly understood. Knowledge of the extent of local adaptation and gene flow may explain such patterns and help predict future trajectories under scenarios of climate change. We test the extent to which local differentiation in thermal tolerance is influenced by gene flow and local adaptation using a widely distributed intertidal seaweed (Hormosira banksii) from temperate Australia. Population surveys across 2,000 km of the species range revealed strong genetic structuring at regional and local scales (global F-ST = 0.243) reflecting extremely limited gene flow, while common garden experiments (14-day exposures to 15, 18, 21 degrees C) revealed strong site differences in early development and mortality in response to elevated temperature. Embryos from many sites spanning a longitudinal thermal gradient showed suppressed development and increased mortality to elevated water temperatures, but populations originating from warmer and more variable thermal environments tended to be less susceptible to warming. Notably, there was significant local-scale variation in the thermal responses of embryos within regions which was corroborated by the finding of small-scale genetic differences. We expect the observed genetic and phenotypic differentiation to lead to uneven responses to warming sea surface temperatures in this important marine foundation species. The study highlights the challenges of predicting species responses to thermal stress and the importance of management strategies that incorporate evolutionary potential for climate-proofing marine ecosystems.",2020,"climate change; evolutionary potential; gene flow; local adaptation; marine ecosystem engineer","Article","ISI"
"Genome-wide assessment elucidates connectivity and the evolutionary history of the highly dispersive marine invertebrate Littoraria flava (Littorinidae: Gastropoda)","10.1093/biolinnean/blab055","Cortez, T; Amaral, RV; Sobral-Souza, T; Andrade, SCS","An important goal of marine population genetics is to understand how spatial connectivity patterns are influenced by historical and evolutionary factors. In this study, we evaluate the demographic history and population structure of Littoraria flava, a highly dispersive marine gastropod in the Brazilian intertidal zone. To test the hypotheses that the species has (1) historically high levels of gene flow on a macrogeographical spatial scale and (2) a distribution in rocky shores that consists of subpopulations, we collected specimens along the Brazilian coastline and combined different sets of genetic markers (mitochondrial DNA, ITS-2 and single nucleotide polymorphisms) with niche-based modelling to predict its palaeodistribution. Low genetic structure was observed, as well as high gene flow over long distances. The demographic analyses suggest that L. flava has had periods of population bottlenecks followed by expansion. According to both palaeodistribution and coalescent simulations, these expansion events occurred during the Pleistocene interglacial cycles (21 kya) and the associated climatic changes were the probable drivers of the distribution of the species. This is the first phylogeographical study of a marine gastropod on the South American coast based on genomic markers associated with niche modelling.",2021,"ecological niche modelling; littorinidae; marine connectivity; phylogeography; population genomics","Article","ISI"
"Genetic connectivity of two marine gastropods in the Mediterranean Sea: seascape genetics reveals species-specific oceanographic drivers of gene flow","10.1111/mec.16080","Lopez-Marquez, V; Cushman, SA; Templado, J; Wan, HY; Bothwell, HM; Machordom, A","Oceanographic features such as currents, waves, temperature and salinity, together with life history traits, control patterns and rates of gene flow and contribute to shaping the population genetic structure of marine organisms. Seascape genetics is an emerging discipline that adopts a spatially explicit approach to examine biotic and abiotic factors that drive gene flow in marine environments. In this study, we examined factors that contribute to genetic differentiation in two coastal Mediterranean gastropods whose geographical ranges overlap but which inhabit different environments. The two species differ in several life history traits and in their dispersal capabilities. Genetic differentiation was relatively low for the trochid species Gibbula divaricata (F-ST =0.059), and high for the vermetid species Dendropoma lebeche (F-ST =0.410). Salinity emerged as the most important variable explaining the genetic structure of both species; sea surface temperature was also important for G. divaricata. For the more sessile D. lebeche, the coastline was predicted to provide important pathways for stepping-stone connectivity and gene flow. Our results provide a greater understanding of the factors influencing marine population connectivity, which may be useful to guide marine conservation and management in the Mediterranean.",2021,"dendropoma lebeche; genetic connectivity; gibbula divaricata; landscape genomics; marine conservation; multivariate optimization; population genetics; seascape genetics; unicor","Article","ISI"
"A versatile Rapture (RAD-Capture) platform for genotyping marine turtles","10.1111/1755-0998.12980","Komoroske, LM; Miller, MR; O'Rourke, SM; Stewart, KR; Jensen, MP; Dutton, PH","Advances in high-throughput sequencing (HTS) technologies coupled with increased interdisciplinary collaboration are rapidly expanding capacity in the scope and scale of wildlife genetic studies. While existing HTS methods can be directly applied to address some evolutionary and ecological questions, certain research goals necessitate tailoring methods to specific study organisms, such as high-throughput genotyping of the same loci that are comparable over large spatial and temporal scales. These needs are particularly common for studies of highly mobile species of conservation concern like marine turtles, where life history traits, limited financial resources and other constraints require affordable, adaptable methods for HTS genotyping to meet a variety of study goals. Here, we present a versatile marine turtle HTS targeted enrichment platform adapted from the recently developed Rapture (RAD-Capture) method specifically designed to meet these research needs. Our results demonstrate consistent enrichment of targeted regions throughout the genome and discovery of candidate variants in all species examined for use in various conservation genetics applications. Accurate species identification confirmed the ability of our platform to genotype over 1,000 multiplexed samples and identified areas for future methodological improvement such as optimization for low initial concentration samples. Finally, analyses within green turtles supported the ability of this platform to identify informative SNPs for stock structure, population assignment and other applications over a broad geographic range of interest to management. This platform provides an additional tool for marine turtle genetic studies and broadens capacity for future large-scale initiatives such as collaborative global marine turtle genetic databases.",2019,"conservation genetics; high-throughput sequencing; rad-seq; reptiles; sea turtle; sequence capture","Article","ISI"
"Asymmetric oceanographic processes mediate connectivity and population genetic structure, as revealed by RADseq, in a highly dispersive marine invertebrate (Parastichopus californicus)","10.1111/mec.14589","Xuereb, A; Benestan, L; Normandeau, E; Daigle, RM; Curtis, JMR; Bernatchez, L; Fortin, MJ","Marine populations are typically characterized by weak genetic differentiation due to the potential for long-distance dispersal favouring high levels of gene flow. However, strong directional advection of water masses or retentive hydrodynamic forces can influence the degree of genetic exchange among marine populations. To determine the oceanographic drivers of genetic structure in a highly dispersive marine invertebrate, the giant California sea cucumber (Parastichopus californicus), we first tested for the presence of genetic discontinuities along the coast of North America in the northeastern Pacific Ocean. Then, we tested two hypotheses regarding spatial processes influencing population structure: (i) isolation by distance (IBD: genetic structure is explained by geographic distance) and (ii) isolation by resistance (IBR: genetic structure is driven by ocean circulation). Using RADseq, we genotyped 717 individuals from 24 sampling locations across 2,719 neutral SNPs to assess the degree of population differentiation and integrated estimates of genetic variation with inferred connectivity probabilities from a biophysical model of larval dispersal mediated by ocean currents. We identified two clusters separating north and south regions, as well as significant, albeit weak, substructure within regions (F-ST = 0.002, p = .001). After modelling the asymmetric nature of ocean currents, we demonstrated that local oceanography (IBR) was a better predictor of genetic variation (R-2 = .49) than geographic distance (IBD) (R-2 = .18), and directional processes played an important role in shaping fine-scale structure. Our study contributes to the growing body of literature identifying significant population structure in marine systems and has important implications for the spatial management of P.californicus and other exploited marine species.",2018,"asymmetric eigenvector maps; marine connectivity; population genomics; rad sequencing; sea cucumber; seascape genetics","Article","ISI"
"Local and regional scale habitat heterogeneity contribute to genetic adaptation in a commercially important marine mollusc (Haliotis rubra) from southeastern Australia","10.1111/mec.15128","Miller, AD; Hoffmann, AA; Tan, MH; Young, M; Ahrens, C; Cocomazzo, M; Rattray, A; Ierodiaconou, DA; Treml, E; Sherman, CDH","Characterising adaptive genetic divergence among conspecific populations is often achieved by studying genetic variation across defined environmental gradients. In marine systems this is challenging due to a paucity of information on habitat heterogeneity at local and regional scales and a dependency on sampling regimes that are typically limited to broad longitudinal and latitudinal environmental gradients. As a result, the spatial scales at which selection processes operate and the environmental factors that contribute to genetic adaptation in marine systems are likely to be unclear. In this study we explore patterns of adaptive genetic structuring in a commercially- harvested abalone species (Haliotis rubra) from southeastern Australia, using a panel of genome-wide SNP markers (5,239 SNPs), and a sampling regime informed by marine LiDAR bathymetric imagery and 20-year hindcasted oceanographic models. Despite a lack of overall genetic structure across the sampling distribution, significant genotype associations with heterogeneous habitat features were observed at local and regional spatial scales, including associations with wave energy, ocean current, sea surface temperature, and geology. These findings provide insights into the potential resilience of the species to changing marine climates and the role of migration and selection on recruitment processes, with implications for conservation and fisheries management. This study points to the spatial scales at which selection processes operate in marine systems and highlights the benefits of geospatially-informed sampling regimes for overcoming limitations associated with marine population genomic research.",2019,"abalone; environmental heterogeneity; fisheries management; genetic adaptation; hindcasted oceanographic models; lidar; marine conservation; population genomics","Article","ISI"
"Contrasting gene flow at different spatial scales revealed by genotyping-by-sequencing in Isocladus armatus, a massively colour polymorphic New Zealand marine isopod","10.7717/peerj.5462","Wells, SJ; Dale, J","Understanding how genetic diversity is maintained within populations is central to evolutionary biology. Research on colour polymorphism (CP), which typically has a genetic basis, can shed light on this issue. However, because gene flow can homogenise genetic variation, understanding population connectivity is critical in examining the maintenance of polymorphisms. In this study we assess the utility of genotyping-by-sequencing to resolve gene flow, and provide a preliminary investigation into the genetic basis of CP in Isocladus armatus, an endemic New Zealand marine isopod. Analysis of the genetic variation in 4,000 single nucleotide polymorphisms (SNPs) within and among populations and colour morphs revealed large differences in gene flow across two spatial scales. Marine isopods, which lack a pelagic larval phase, are typically assumed to exhibit greater population structuring than marine invertebrates possessing a biphasic life cycle. However, we found high gene flow rates and no genetic subdivision between two North Island populations situated 8 km apart. This suggests that I. armatus is capable of substantial dispersal along coastlines. In contrast, we identified a strong genetic disjunction between North and South Island populations. This result is similar to those reported in other New Zealand marine species, and is congruent with the presence of a geophysical barrier to dispersal down the east coast of New Zealand. We also found some support for a genetic basis to colouration evidenced by positive FST outlier tests, with two SNPs in particular showing strong association to the expression of a striped morph. Our study provides one of the first population genomic studies of a marine organism in New Zealand, and suggests that genotyping-by-sequencing can be a good alternative to more traditional investigations based on traditional markers such as microsatellites. Our study provides a foundation for further development of a highly tractable system for research on the evolutionary maintenance of CP.",2018,"gene flow; population genomics; genotyping-by-sequencing; marine; isopod; direct development; colour polymorphism","Article","ISI"
"RAD genotyping reveals fine-scale population structure and provides evidence for adaptive divergence in a commercially important fish from the northwestern Pacific Ocean","10.7717/peerj.7242","Zhang, BD; Xue, DX; Li, YL; Liu, JX","Exploring factors shaping genetic structure of marine fish is challenging due to fewer barriers to gene flow in the ocean. However, genome-wide sequence data can greatly enhance our ability to delineate previously unidentified population structure as well as potential adaptive divergence. The small yellow croaker (Larimichthys polyactis) is a commercially important fish species with high gene flow and its overwintering populations experience heterogeneous environment, suggesting possible population differentiation and adaptive divergence. To delineate patterns of population structure as well as test for signatures of local adaptation, a total of 68,666 quality filtered SNP markers were identified for 80 individuals from four overwintering populations by using restriction site-associated DNA sequencing (RAD-seq). Significant genetic differentiation among overwintering populations from the Central Yellow Sea, the South Yellow Sea and the North East China Sea were detected (Pair-wise F-ST: 0.00036-0.00390), which were consistent with population division of overwintering groups inferred from traditional ecological approaches. In addition, a total of 126 unique SNPs were detected to be significantly associated with environmental parameters (temperature, salinity and turbidity). These candidate SNPs were involved in multiple pathways such as energy metabolism and phagocytosis, suggesting they may play key roles in growth and innate immunity. Our results suggested the existence of hitherto unrecognized cryptic population structure and local adaptation in this high gene flow marine fish and thus gain new insights into the design of management strategies.",2019,"population genomics; single-nucleotide polymorphisms; rad-seq; local adaptation; larimichthys polyactis","Article","ISI"
"Evidence for metaviromic islands in marine phages","10.3389/fmicb.2014.00027","Mizuno, CM; Ghai, R; Rodriguez-Valera, F","Metagenomic islands (MGIs) have been defined as genomic regions in prokaryotic genomes that under-recruit from metagenomes where most of the same genome recruits at close to 100% identity over most of its length. The presence of MGIs in prokaryotes has been associated to the diversity of concurrent lineages that vary at this level to disperse the predatory pressure of phages that, reciprocally, maintain high clonal diversity in the population and improve ecosystem performance. This was proposed as a Constant-Diversity (C-D) model. Here we have investigated the regions of phage genomes under-recruiting in a metavirome constructed with a sample from the same habitat where they were retrieved. Some of the genes found to under-recruit are involved in host recognition as would be expected from the C-D model. Furthermore, the recruitment of intragenic regions known to be involved in molecular recognition also had a significant under-recruitment compared to the rest of the gene. However, other genes apparently disconnected from the recognition process under-recruited often, specifically the terminases involved in packaging of the phage genome in the capsid and a few others. In addition, some highly related phage genomes (at nucleotide sequence level) had no metaviromic islands (MVIs). We speculate that the latter might be generalist phages with broad infection range that do not require clone specific lineages.",2014,"population genomics; phages; metaviromes; host recognition; marine phages; virome","Article","ISI"
"Effects of reduced water quality on coral reefs in and out of no-take marine reserves","10.1111/cobi.12576","Wenger, AS; Williamson, DH; da Silva, ET; Ceccarelli, DM; Browne, NK; Petus, C; Devlin, MJ","Near-shore marine environments are increasingly subjected to reduced water quality, and their ability to withstand it is critical to their persistence. The potential role marine reserves may play in mitigating the effects of reduced water quality has received little attention. We investigated the spatial and temporal variability in live coral and macro-algal cover and water quality during moderate and major flooding events of the Fitzroy River within the Keppel Bay region of the Great Barrier Reef Marine Park from 2007 to 2013. We used 7 years of remote sensing data on water quality and data from long-term monitoring of coral reefs to quantify exposure of coral reefs to flood plumes. We used a distance linear model to partition the contribution of abiotic and biotic factors, including zoning, as drivers of the observed changes in coral and macro-algae cover. Moderate flood plumes from 2007 to 2009 did not affect coral cover on reefs in the Keppel Islands, suggesting the reef has intrinsic resistance against short-term exposure to reduced water quality. However, from 2009 to 2013, live coral cover declined by approximate to 50% following several weeks of exposure to turbid, low salinity water from major flood plume events in 2011 and subsequent moderate events in 2012 and 2013. Although the flooding events in 2012 and 2013 were smaller than the flooding events between 2007 to 2009, the ability of the reefs to withstand these moderate floods was lost, as evidenced by a approximate to 20% decline in coral cover between 2011 to 2013. Although zoning (no-take reserve or fished) was identified a significant driver of coral cover, we recorded consistently lower coral cover on reserve reefs than on fished reefs throughout the study period and significantly lower cover in 2011. Our findings suggest that even reefs with an inherent resistance to reduced water quality are not able to withstand repeated disturbance events. The limitations of reserves in mitigating the effects of reduced water quality on near-shore coral reefs underscores the importance of integrated management approaches that combine effective land-based management with networks of no-take reserves.",2016,"coastal development; disturbance; great barrier reef; local adaptation; mpa; resilience","Article","ISI"
"An EST-based genome scan using 454 sequencing in the marine snail Littorina saxatilis","10.1111/j.1420-9101.2010.02071.x","Galindo, J; Grahame, JW; Butlin, RK","Genome scans have been used in the studies of ecological speciation to find genomic regions ('outlier loci') showing reduced gene flow between divergent populations/species. High-throughput sequencing ('454') offers new opportunities in this field via transcriptome sequencing. Divergent ecotypes of the marine gastropod Littorina saxatilis represent a good example of incipient ecological speciation. We performed a 454-based genome scan between H and M ecotypes of L. saxatilis from the British Isles using cDNA of pooled individuals. Allele frequencies were calculated for 2454 single nucleotide polymorphisms (SNPs), within 572 contigs, and 7% of loci were detected as outliers. Functional annotation of the contigs containing outlier SNPs showed that they included shell matrix and muscle proteins (lithostathine, mucin, titin), proteins involved in energetic metabolism (arginine kinase, NADH dehydrogenase) and reverse transcriptases. Follow-up investigations into these proteins and unannotated outliers will be a promising route in the study of ecological speciation in L. saxatilis.",2010,"local adaptation; outlier analysis; population genomics; transcriptome scan; 454","Article","ISI"
"Local environment-driven adaptive evolution in a marine invasive ascidian (Molgula manhattensis)","10.1002/ece3.7322","Chen, YY; Gao, YC; Huang, XN; Li, SG; Zhan, AB","Elucidating molecular mechanisms of environment-driven adaptive evolution in marine invaders is crucial for understanding invasion success and further predicting their future invasions. Although increasing evidence suggests that adaptive evolution could contribute to organisms' adaptation to varied environments, there remain knowledge gaps regarding how environments influence genomic variation in invaded habitats and genetic bases underlying local adaptation for most marine invaders. Here, we performed restriction-site-associated DNA sequencing (RADseq) to assess population genetic diversity and further investigate genomic signatures of local adaptation in the marine invasive ascidian, Molgula manhattensis. We revealed that most invasive populations exhibited significant genetic differentiation, low recent gene flow, and no signal of significant population bottleneck. Based on three genome scan approaches, we identified 109 candidate loci potentially under environmental selection. Redundancy analysis and variance partitioning analysis suggest that local environmental factors, particularly the salinity-related variables, represent crucial evolutionary forces in driving adaptive divergence. Using the newly developed transcriptome as a reference, 14 functional genes were finally obtained with potential roles in salinity adaptation, including SLC5A1 and SLC9C1 genes from the solute carrier gene (SLC) superfamily. Our findings confirm that differed local environments could rapidly drive adaptive divergence among invasive populations and leave detectable genomic signatures in marine invaders.",2021,"adaptive evolution; biological invasion; population genomics; radseq; salinity adaptation","Article","ISI"
"High connectivity among locally adapted populations of a marine fish (Menidia menidia)","10.1890/09-0548.1","Clarke, LM; Munch, SB; Thorrold, SR; Conover, DO","Patterns of connectivity are important in understanding the geographic scale of local adaptation in marine populations. While natural selection can lead to local adaptation, high connectivity can diminish the potential for such adaptation to occur. Connectivity, defined as the exchange of individuals among subpopulations, is presumed to be significant in most marine species due to life histories that include widely dispersive stages. However, evidence of local adaptation in marine species, such the Atlantic silverside, Menidia menidia, raises questions concerning the degree of connectivity. We examined geochemical signatures in the otoliths, or ear bones, of adult Atlantic silversides collected in 11 locations along the northeastern coast of the United States from New Jersey to Maine in 2004 and eight locations in 2005 using laser ablation inductively coupled plasma mass spectrometry (ICP-MS) and isotope ratio monitoring mass spectrometry (irm-MS). These signatures were then compared to baseline signatures of juvenile fish of known origin to determine natal origin of these adult fish. We then estimated migration distances and the degree of mixing from these data. In both years, fish generally had the highest probability of originating from the same location in which they were captured (0.01-0.80), but evidence of mixing throughout the sample area was present. Furthermore, adult M. menidia exhibit highly dispersive behavior with some fish migrating over 700 km. The probability of adult fish returning to natal areas differed between years, with the probability being, on average, 0.2 higher in the second year. These findings demonstrate that marine species with largely open populations are capable of local adaptation despite apparently high gene flow.",2010,"atlantic silverside; connectivity; gene flow; local adaptation; menidia menidia; northeastern us coast; otolith chemistry; population structure","Article","ISI"
"Contemporary ancestor? Adaptive divergence from standing genetic variation in Pacific marine threespine stickleback","10.1186/s12862-018-1228-8","Morris, MRJ; Bowles, E; Allen, BE; Jamniczky, HA; Rogers, SM","Background: Populations that have repeatedly colonized novel environments are useful for studying the role of ecology in adaptive divergence - particularly if some individuals persist in the ancestral habitat. Such contemporary ancestors can be used to demonstrate the effects of selection by comparing phenotypic and genetic divergence between the derived population and their extant ancestors. However, evolution and demography in these contemporary ancestors can complicate inferences about the source (standing genetic variation, de novo mutation) and pace of adaptive divergence. Marine threespine stickleback (Gasterosteus aculeatus) have colonized freshwater environments along the Pacific coast of North America, but have also persisted in the marine environment. To what extent are marine stickleback good proxies of the ancestral condition? Results: We sequenced > 5800 variant loci in over 250 marine stickleback from eight locations extending from Alaska to California, and phenotyped them for platedness and body shape. Pairwise FST varied from 0.02 to 0.18. Stickleback were divided into five genetic clusters, with a single cluster comprising stickleback from Washington to Alaska. Plate number, Eda, body shape, and candidate loci showed evidence of being under selection in the marine environment. Comparisons to a freshwater population demonstrated that candidate loci for freshwater adaptation varied depending on the choice of marine populations. Conclusions: Marine stickleback are structured into phenotypically and genetically distinct populations that have been evolving as freshwater stickleback evolved. This variation complicates their usefulness as proxies of the ancestors of freshwater populations. Lessons from stickleback may be applied to other contemporary ancestor-derived population studies.",2018,"evolutionary genomics; adaptive radiation; next-generation sequencing; morphological evolution; population structure; natural selection","Article","ISI"
"Population Genomics Reveals Shallow Genetic Structure in a Connected and Ecologically Important Fish From the Northwestern Pacific Ocean","10.3389/fmars.2020.00374","Zhang, BD; Li, YL; Xue, DX; Liu, JX","Genetic variation at the genomic level is invaluable to identify fish stock structure in fisheries management. It has been widely accepted that populations of marine fishes are highly connected owing to fewer barriers to gene flow and increased connectivity resulting from greater dispersal abilities. Since population genomic approaches have increased the accessibility and resolution of population genetic data, it further facilitates to study and detect previously unidentified structures as well as signatures for natural selection in wild populations. In the present study, restriction-site associated DNA (RAD) sequencing was applied to the samples of genome-wide single nucleotide polymorphisms (SNPs) of Engraulis japonicus, a small pelagic fish of ecological and economic importance in the northwestern Pacific. To assess population genetic structure as well as detection for local adaptation of E. japonicus, a total of 389 individuals from six regional populations of the northwestern Pacific were collected and a set of 12,627 SNPs was developed. Marginal significant genetic structure (average FST value was approximately equal to 0.002) was detected between regional populations of the Bohai Sea population (BHS) and the the Japan Sea population (JPS) as well as between the North Yellow Sea population (NYS), and the the Japan Sea population (JPS). Moreover, no sign of local adaptation was detected, which might be the product of high gene flow among regional populations. Overall, our results improve the understanding of fine-scale population genetic structure in E. japonicus and potentially identify management unit in this species.",2020,"population genomics; engraulis japonicus; single nucleotide polymorphism; rad-seq; genetic structures","Article","ISI"
