"ID","Author","DOI","Title","Generic","Species","Common name","Habitat","HabitatII","Pelagic Larval Duration (days)","PLD reference","Conservation status","Fishery resource","World region","Biogeographic region","Country","Technical","enzimes","Number Samples","Outlier detection method","SNPs","Neutral loci","Outlier loci","Neutral","Adaptive","Environmental association","Main environemntal driver adaptive","Environmental data","Environmental Database","gene-environment software","Anotation associated markers","Notes","Genome data access","Environment data access","Collection latitude lower","Collection latitude higher","Current","Sampling coordinates","Coordinate path","Include"
23,"Vera, M; Maroso, F; Wilmes, SB; Hermida, M; Blanco, A; Fernandez, C; Groves, E; Malham, SK; Bouza, C; Robins, PE; Martinez, P","10.1111/eva.13340","Genomic survey of edible cockle (Cerastoderma edule) in the Northeast Atlantic: A baseline for sustainable management of its wild resources","Bivalve",NA,"Common cockle","Benthic","Sand","30 - 90","https://www.st.nmfs.noaa.gov/data-and-tools/NE-CVA/pdf/Summer_Flounder.pdf",NA,"Yes","North East Atlantic","3; 18","Portugal-Scotland","2b-RAD-seq","AlfI; Iib",536,"Bayescan; Arlequin",9309,8021,"554","IBD","IBD","no","Latitude; Monthly mean sea surface temperature","Monthly mean sea surface temperature; Monthly mean sea bottom temperature; Monthly mean sea surface salinity; Monthly mean sea bottom salinity; Monthly mean bottom shear stress; Monthly mean net primary productivity","Copernicus Marine Environment Monitoring Service database","RDA","Heterocycle catabolic process; Endopeptidase inhibitor activity; Peptidase inhibitor activity; Enzyme inhibitor activity","When spatial variables (latitude and longitude) were excluded from the analysis, SST was the main driver in most scenarios, separating northern and southern groups for all data sets. However, as suggested before, a cor- relation between larval dispersal and environmental factors seems to occur in the northeast Atlantic scenario, and thus, neutral and outlier markers show quite similar outcomes at least at larger scales","https://datadryad.org/stash/dataset/doi:10.5061/dryad.kh189326p","https://datadryad.org/stash/dataset/doi:10.5061/dryad.kh189326p",NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.13340",NA
24,"Benestan, L; Gosselin, T; Perrier, C; Sainte-Marie, B; Rochette, R; Bernatchez, L","10.1111/mec.13245","RAD genotyping reveals fine-scale genetic structuring and provides powerful population assignment in a widely distributed marine species, the American lobster (Homarus americanus)","Crustacean",NA,"American lobster","Benthic","Rock","21 - 42",NA,"Least concern (IUCN)","Yes","North West Atlantic","18","US-Canada","RAD-seq",NA,586,"Bayescan; Arlequin",10156,8144,"32","IBD",NA,NA,NA,NA,NA,NA,NA,NA,"https://datadryad.org/stash/dataset/doi:10.5061/dryad.q771r",NA,41.58,49.52,"North Atlantic Drift","Yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.13245","yes"
25,"Mendiola, MJR; Ravago-Gotanco, R","10.1002/ece3.7625","Genetic differentiation and signatures of local adaptation revealed by RADseq for a highly dispersive mud crab Scylla olivacea (Herbst, 1796) in the Sulu Sea","Crustacean","Scylla olivacea","Mud crab","Benthic","Sand","30",NA,NA,"Yes","West Pacific","13","China","ddRAD-seq","Mluc; MspI",146,"Bayescan; Arlequin; Outflank",1655,1643,"12","Metapopulation","IBE","yes","Monthly mean sea surface temperature; Monthly minimum sea surface temperature","Monthly mean sea surface temperature; Monthly minimum sea surface temperature; Monthly maximum sea surface temperature; Daily fine- scale rainfall data","NOAA/OAR/ESRL PSL","RDA",NA,"Examining eastern and western boundary populations separately, an emergent pattern of genetic distance increasing with geographic distance is observed for the eastern boundary populations (ANT, MSJ, NEG, TWI) although the relationship is not significant; Geographic distance was not a significant predictor of genetic structure; For S. olivacea, geographic distance does not appear to be a factor in genetic structure across the Sulu Sea. Instead, oceanographic circulation appears to be a more significant driver of spatial patterns of dispersal and genetic structure","https://datadryad.org/stash/dataset/doi:10.5061/dryad.3xsj3txdz","https://psl.noaa.gov/; Tropical Rainfall Measuring Mission",NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.7625",NA
26,"Paterno, M; Schiavina, M; Aglieri, G; Ben Souissi, J; Boscari, E; Casagrandi, R; Chassanite, A; Chiantore, M; Congiu, L; Guarnieri, G; Kruschel, C; Macic, V; Marino, IAM; Papetti, C; Patarnello, T; Zane, L; Melia, P","10.1002/ece3.2844","Population genomics meet Lagrangian simulations: Oceanographic patterns and long larval duration ensure onnectivity among Paracentrotus lividus populations in the Adriatic and Ionian seas","Echinoderm",NA,"Purple sea urchin","Benthic","Rock","30",NA,"Protected (Bern)","Yes","Mediterranean","5","France-Tunisia","2b-RAD-seq","CspCI",275,"Lositan; Bayescan",1122,1105,"17","Metapopulation",NA,NA,NA,NA,NA,NA,NA,"There was genetic differentiation between the Central and Western Mediterranean Sea and for differentiation between samples collected along the French and Tunisian coasts. In the Central Mediterranean, genetic homogeneity was detected within and between Adriatic and Ionian basins","https://datadryad.org/stash/dataset/doi:10.5061/dryad.73kc6",NA,37.05,43.79,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.2844",NA
27,"Bernard, AM; Finnegan, KA; Bitar, PP; Stanhope, MJ; Shivji, MS","10.1093/jhered/esab046","Genomic Assessment of Global Population Structure in a Highly Migratory and Habitat Versatile Apex Predator, the Tiger Shark (Galeocerdo cuvier)","Elasmobranch","Galeocerdo cuvier","Tiger shark","Pelagic","Water column",NA,NA,"Near threatened (IUCN)","No","Central Pacific; Western South Atlantic; Idian Ocean","11; 21; 13; 16; 9","Globally","GBS","EcoT22I",282,"Arlequin; Bayescan; PCADAPT; Outflank",2006,1898,"108","IBD","IBD",NA,NA,NA,NA,NA,NA,"The population genetic analysis of the strictly candidate outlier SNP datasets in- dicated significant genetic differentiation between sharks from the western Atlantic and Indo-Pacific Oceans, supporting the hypothesis of potentially adaptive genetic differences between tiger sharks inhabiting distinct ocean basins.","https://datadryad.org/stash/dataset/doi:10.5061/dryad.xksn02vgn",NA,-30,30,NA,"no",NA,NA
28,"Ketchum, RN; Smith, EG; DeBiasse, MB; Vaughan, GO; McParland, D; Leach, WB; Al-Mansoori, N; Ryan, JF; Burt, JA; Reitzel, AM","10.1093/gbe/evaa150","Population Genomic Analyses of the Sea Urchin Echinometra sp. EZ across an Extreme Environmental Gradient","Echinoderm","Echinometra sp. EZ","sea urchin","Benthic","Rock",NA,NA,NA,"No","Persian/Arabian Gulf","13","UAE","RAD-seq",NA,85,"PCADAPT",918,909,"9","Metapopulation",NA,NA,NA,NA,NA,NA,NA,"Populaiton differenciation between the Gulf of Oman and Persian/Arabian Gulf",NA,NA,24.3,26.3,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\EVAA150",NA
29,"Ceballos S.G., Papetti C., Babbucci M., Fernández D.A., Schiavon L., Cheng C.-H.C.","10.1016/j.fishres.2021.106074","Genome-wide analysis reveals striking lack of genetic differentiation over long distances for the Antarctic toothfish Dissostichus mawsoni: High genetic connectivity or shared spawning grounds?","Fish","Dissostichus mawsoni","Antartic toothfish","Pelagic","Water column","273","https://doi.org/10.1111/fog.12560",NA,"Yes","Antartica","30","Antartica","RAD-seq","SbfI",64,"Bayescan; PCADAPT",19611,19611,"Undetected","Panmixia",NA,NA,NA,NA,NA,NA,NA,"Two different but not mutually exclusive underlying processes may be considered. One, the lack of genetic differentiation is due to high levels of gene flow that led to the homogenization of allele frequencies among these two distant populations. Two, these populations are truly panmictic and originated from the same spawning areas. We suggest that high level of gene flow, is the more reliable hypothesis to explain the present result of absence of genetic differentiation.","https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA717235",NA,62,77.8,NA,NA,NA,NA
30,"O'Leary S.J., Hollenbeck C.M., Vega R.R., Portnoy D.S.","10.1002/ece3.8064","Disentangling complex genomic signals to understand population structure of an exploited, estuarine-dependent flatfish","Fish","Paralichthys lethostigma","Southern flounder","Benthic","Sand","30 - 60",NA,NA,"Yes","Gulf of Mexico","11","US","ddRAD-seq","EcorI; MspI",316,"Bayescan; Arlequin",4122,3700,"422","IBE","IBE","yes","Percent mixed water","Estuary Latitude	; Estuary Longitude; Catchment Latitude; Catchment Longitude; Estuary Area (km2); Tidal Fresh Zone Area (km2); Mixing Zone Area (km2); Saltwater Zone Area (km2); Tidal Fresh Blackwater; Mixing Zone Blackwater; Seawater Blackwater; Estuary Volume (m3); Estuary Depth (m); Estuary Perimeter (km); Percent Estuary Open (%); Catchment Area (km2); Catchment Mean Elev. (m); Catchment Max Elev. (m); Catchment/Estuary Area Ratio Total (km2); Population (#); Pop / Estuary Area (#.km-2); Tide Height (m); Tide Volume (m3); Tides/day (#); Tide Volume / Day (m3.d-1); Tide Ratio; Stratification Ratio; Percent Freshwater (%); Percent Mixed Water (%); Percent Seawater (%); Average Salinity (psu); Tidal Exchange (days); Tidal Freshwater Flush (d); Daily FW/Est Area (m.d-1); Daily Freshwater (m3.d-1) (Best); Flow / Estuary Area (m.d-1) (Best); Total FW Volume (1.d-1); Daily Precipitation (m3.d-1); Daily Evaporation (m3.d-1); Daily Precip / Est Area (mm.d-1); Daily Evap / Est Area (mm.d-1); Flow (m3.d-1); Air Temperature Mean (C); Air Temperature Std Dev (C); Frost Days (#); Wind Speed (m.sec-1); Sea Surface Temperature Mean (C); Sea Surface Temperature Std Dev (C); Ocean Salinity Mean (psu); Ocean Salinity Max (psu); Ocean Salinity Min (psu); Mean Anual Oceanic DIP (ÂµM); Mean Annual Oceanic NO3 (ÂµM); Mean anual TSS (tonne.y-1); Mean annual TN (kg.y-1); Mean annual TP (kg.y-1); Mean annual TSS/Est Area (tonne.km-2.y-1); Mean annual TN/Est Area (kg.km-2.y-1); Mean annual TP/Est Area (kg.km-2.y-1); Urban (km2) total; Urban (km2) percent; Agriculture (km2) total; Agriculture (km2) percent; Forest (km2) total; Forest (km2) percent; Wetland (km2) total; Wetland (km2) percent; Range (km2) total; Range (km2) percent; Barren (km2) total; Barren (km2) percent","National Estuary Eutrophication Assessment database","RDA",NA,"By contrast, the finding that environmental differences among estuaries explains total genomic variation better than rela- tive geographic position indicates that best management strategies for southern flounder should include a focus on the preservation of a diversity of habitats that can be used to complete early life stages.","https://www.ncbi.nlm.nih.gov/search/all/?term=PRJNA754841).","https://github.com/sjoleary/SFL_PopGen/blob/master/data/ENV/NEAA_data.txt",NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.8064",NA
31,"Lou F., Gao T., Han Z.","10.1016/j.cbd.2021.100828","Identification of putative key genes for thermal adaptation in the Japanese mantis shrimp (Oratosquilla oratoria) through population genomic analysis","Crustacean","Oratosquilla oratoria","Japanese mantis shrimp","Benthic","Sand","30 - 60",NA,NA,"Yes","West Pacific","29","China","2b-RAD-seq","BsaXI",60,"BayEnv",2403,2340,"63","IBE","IBE","Yes","Mean surface temperature","Mean sea surface temperature","Japan Meteorological Agency; Advanced Very High Resolution Radiometer; Geostationary Opera- tional Environmental Satellites","BayEnv","Material metabolism; cytoskeleton; Cellular processes; inflamatory response; hormonal regulation","Genetic structure analysis revealed remarkable genetic differentiation with high support between the Yellow Sea and the East China Sea populations of O. oratoria. The strong genetic structure may be attributed to the habitat fragmentation caused by glacial period and limited gene flow due to the Changjiang River outflow.","https://www.ncbi.nlm.nih.gov/search/all/?term=PRJNA640985","https://www.jma.go.jp/jma/index.html; https://oceanwatch.pifsc.noaa.gov/",24.46,38.88,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\j.cbd.2021.100828",NA
32,"Clark R.D., Aardema M.L., Andolfatto P., Barber P.H., Hattori A., Hoey J.A., Montes H.R., Pinsky M.L.","10.1098/rspb.2021.0407","Genomic signatures of spatially divergent selection at clownfish range margins","Fish","Amphiprion clarkii","Yellowtail clownfish","Demersal","Reef","14","10.1098/rspb.2021.0407","Endangered (IUCN)","No","Indo West Pacific","13","Japan; Philipines; Indonesia","Total RNA",NA,25,"Baypass",4212,4156,"56","IBD","IBD; IBE","Yes","Annual mean sea surface temperature; Annual minimum sea surface temperature","Annual mean sea surface temperature; Annual minimum sea surface temperature; Annual maximum sea surface temperature; Annual mean sea surface salinity","MARSPEC database","Baypass; RDA","apoptotic process; cell structure; proteolysis; calcion ion transport; ATP biosynthetic process; protein targeting; cell death; cell structure; protein transduction; protein binding; antioxidant activity; response to stress; translation; protein folding; autophagy; immune response; transcription; translation","PCA revealed that individuals from Japan clustered more tightly relative to the Philippines or Indonesia (figure 3a; elec- tronic supplementary material, figure S7a). PC 1 explained 13% of the total variance, while PC 2 explained 10%. How- ever, the PCA with only outlier SNPs revealed that Japanese individuals were much more diverged from an Indonesian and Philippines cluster. The Evanno method suggested three clusters (K= 3), regardless of whether the full dataset was used, only SNPs in HWP, or only non-outlier SNPs (figure 3c; elec- tronic supplementary material, figure S7c,d). However, with only outlier SNPs, only two clusters were suggested (K= 2), one for Japan and one for the Philippines and Indonesia com- bined (figure 3d). Moreover, when only examining outlier SNPs, the edge versus core population distinction could explain fully 73% of the genetic variation. These results suggest that selection, in addition to neutral processes, shapes patterns of genetic structure in our study system. Combined, our findings further suggest that neutral and adaptive variation are differ- ently partitioned among the three sampling locations, a pattern that is increasingly reported in marine taxa",NA,NA,0.652,33.005,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\rspb.2021.0407",NA
33,"Chen Y., Gao Y., Huang X., Li S., Zhan A.","10.1002/ece3.7322","Local environment-driven adaptive evolution in a marine invasive ascidian (Molgula manhattensis)","Ascidean","Molgula manhattensis","Sea grape","Benthic","Sand",NA,NA,NA,"No","West Pacific","29","China","2b-RAD-seq",NA,118,"Bayescan; Outflank",6635,3616,"2140","IBD","IBE","Yes","Salinity","Annual mean salinity; Maximum monthly-mean salinity; Minimum monthly-mean salinity; Annual mean sea surface temperature; Maximum monthly-mean sea surface temperature; Minimum monthly-mean sea surface temperature","World Ocean Atlas 2013 of the National Oceanic and Atmospheric Administration","LFMM; RDA","DNA-binding transcription factor activity; metal ion binding; generation of precursos metabolites and energy; celluar response to oxidative stress; pathogenesis; ion channel activity; potassium proton antitransporter activity; sodium proton antiporer activity; ubiquitin protein ligase; DNA repair; cellular calcium ion homeostasis; response to calcium ion; mitotic chromosome condensation; protein kinase A signalign; cilium assembly; GTPase activator activity; protein secretion; protein processing in endoplasmic reticulum; glycosaminoglycan biosynthetic process; golgi membrane; integral component of membrane; regulation of immune response; cadherin binding; positive regulation of apoptotic process","Our RDA results revealed that environmental variables accounted for more in explaining adaptive genetic variation when compared with spa- tial distribution","https://doi.org/10.5061/dryad.18931zcwf","https://www.nodc.noaa.gov/OC5/SELECT/woaselect/woaselect.html",24.42,40.88,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.7322",NA
34,"Vaux F., Bohn S., Hyde J.R., O'Malley K.G.","10.1111/eva.13202","Adaptive markers distinguish North and South Pacific Albacore amid low population differentiation","Fish","Thunnus alalunga","Albacore","Pelagic","Water column","Inf",NA,"Least concern (IUCN)","Yes","North West Pacific; North East Pacific; South West Pacific","7; 12; 9; 20","US; Japan; Philipines; Canada; Mexico; Australia","ddRAD-seq","PstI; SphI",308,"Fsthet; Outflank; Bayesscan; PCADAPT",12872,12788,"84","Panmixia","IBD",NA,NA,NA,NA,NA,NA,"the small number of putatively adaptive loci contributed substantially to the overall estimate of genetic differentiation. The identified putative adaptive genetic differentiation between the North and South Pacific may matter for effective fisheries man- agement and conservation. Some of the putatively adap- tive loci identified in this study may be relevant for adaptation to increased temperatures or physiological stress induced by climate change (e.g., six loci aligned to heat shock protein), and therefore, the 84 sites identified in this study may be useful for future manage- ment efforts.","https://datadryad.org/stash/dataset/doi:10.5061/dryad.6djh9w103",NA,-40,50,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.13202",NA
35,"Pearman W.S., Wells S.J., Silander O.K., Freed N.E., Dale J.","10.1002/ece3.6802","Concordant geographic and genetic structure revealed by genotyping-by-sequencing in a New Zealand marine isopod","Crustacean","Isocladus armatus","Isopod","Benthic","Rock","Direct development",NA,NA,"No","South West Pacific","28","New Zealand","DArT-seq","PstI; SphI",261,"Bayescan",8412,8020,"392","IBD","IBD",NA,NA,NA,NA,NA,NA,"A Mantel test of the IBD hypothesis also indicated a strong and almost linear cor- relation between geographic distance and genetic distance within
the northern populations, indicative of a stepping stone model of distribution. The genetic barrier could be the result of environmental gradients imposing selective pressures on I. armatus, that is, isolation-by-adaptation through divergent selec- tion (Nosil et al., 2009; Van Wyngaarden et al., 2017). This is sup- ported by the observation that there was greater genetic variation between these regions in an AMOVA of non-neutral SNPs com- pared to an AMOVA of neutral SNPs only","https://www.ncbi.nlm.nih.gov/sra/?term=PRJNA643849%2C",NA,-42,-37,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.6802",NA
36,"Vu N.T.T., Zenger K.R., Guppy J.L., Sellars M.J., Silva C.N.S., Kjeldsen S.R., Jerry D.R.","10.1186/s12864-020-07084-x","Fine-scale population structure and evidence for local adaptation in Australian giant black tiger shrimp (Penaeus monodon) using SNP analysis","Crustacean","Penaeus monodon","Giant Black tiger shrimp","Benthic","Sand","20","10.1186/s12864-020-07084-x","Not evaluated (IUCN)","Yes","South West Pacific","16","Australia","DArT-seq",NA,283,"Bayescan; PCADAPT",10624,10535,"89","IBD","IBE","Yes","Surfce temperature maximun; Surface temperature minimun","Latitude; Longitude; Surface Salinity min; Surface temperature max; Surface temperature mean; Surface current velocity mean; Surface phytoplankton mean; Benthic temperature mean; Benthic current velocity mean; Suface salinity max; Surface salinity mean; Surface dissolved molecular oxygen min; Surface dissolved molecular oxygen max; Surface current velocity max; Surface current velocity min; Surface phytoplankton min; Benthic salinity max; Benthic salinity mean, Benthic salinity min; Benthic temperature max; Benthic dissolved molecular oxygen max; Benthic dissolved oxygen mean; Benthic current velocity max; Benthic phytoplankton mean; Benthin phytoplankton min","Bio- ORACLE database","RDA; LFMM","Calcium-activated chloride channel regulator; calcium-activated chloride channel regulator 2-like; epithelial chloride channel-like; uncharacterized protein APZ42_ 034504; Predicted: uncharacterized protein LOC108744461 isoform X4","MRM models explained a large and significant proportion of genetic variability (> 90%), indicating that these environmental variables and geographic distance are significantly correlated and thus potentially constrain gene flow synergistically.","https://www.ncbi.nlm.nih.gov/nuccore/GGLH00000000.1","https://www.bio-oracle.org/downloads-to-email.php",-20,-12,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12864-020-07084-x",NA
37,"Cayuela H., Rougemont Q., Laporte M., Mérot C., Normandeau E., Dorant Y., Tørresen O.K., Hoff S.N.K., Jentoft S., Sirois P., Castonguay M., Jansen T., Praebel K., Clément M., Bernatchez L.","10.1111/mec.15499","Shared ancestral polymorphisms and chromosomal rearrangements as potential drivers of local adaptation in a marine fish","Fish","Mallotus villosus","Capelin","Demersal","Water column","18","10.1080/10236249509378894","Not evaluated (IUCN)","Yes","North West Atlantic","18","Canada","GBS","PstI; MspI",1359,"Bayescan; PCADAPT",25904,12600,"85 (temperature); 88 (Chlorophyll); 108 (Spawning habitat)","IBD","IBE","Yes","Sea surface temperature; Chlorophyll concentration; Spawning habitat","Mean Sea surface temperature; Mean concentration Chlorophyll a; Spawning habitat",NA,"pRDA; LFMM","Catalytic complex (sst); sm-like protein family complex (sst); regulatio of growth (sst); response to radiation (sst);  regulation of protein stability (sst); ubiquitin ligase complex (sst); catalytic step 2 spliceosome (sst); ubiquitin comjugating enzume complex (sst); ubiquitinyl hydrolase activity (sst); GABA receptor complex (sst); response to stimulues (chla); organelle (chla); membrane-bounded organelle (chla); intracellular organelle (chla); anchroing junction (chla); protein binding (chla); cyclin-dependent protein kinase holoenzyme (chla); cell-substrate adherens junction (chla); whole membrane (spa); cyclin-dependent protein kinase activity (spa); catalytic activity (spa); protein metagbolic process (spa); response to pH (spa); bounding membrane organelle (spa); intracellular vesicle (spa); ubiquitin ligase complex (spa); cyclin-dependent protein serine/threonine kinase activity (spa)","gene flow among spawning sites. Within the Northwest Atlantic lineage, we detected a polymorphic chromosomal rearrangement leading to the occurrence of three hap- logroups. Genotype–environment associations revealed molecular signatures of local adaptation to environmental conditions prevailing at spawning sites","https://datadryad.org/stash/dataset/doi:10.5061/dryad.hx3ffbgbp",NA,47.38,70.45,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.15499",NA
38,"Berry O., Richards Z., Moore G., Hernawan U., Travers M., Gruber B.","10.1071/MF19172","Oceanic and coastal populations of a harvested macroinvertebrate Rochia nilotica in north-western Australia are isolated and may be locally adapted","Gastropod","Rochia nilotica","Trochus","Benthic","Reef","4","10.1071/MF19172",NA,"Yes","South West Pacific","16","Australia","DArT-seq","PstI; HpaII",524,"Outflank; Bayescan",5548,5438,"110","IBD","IBD",NA,NA,NA,NA,NA,NA,"Divergence between the coastal and oceanic populations. The geographic and hydrodynamic barriers that result in the isolation of coastal and oceanic reefs in north-western Australia may explain, in part, their distinctive ecological communities.","https://data.csiro.au/collection/csiro:20432v1",NA,-16.5,-14,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\MF19172",NA
39,"Zhang B.-D., Li Y.-L., Xue D.-X., Liu J.-X.","10.3389/fmars.2020.00374","Population Genomics Reveals Shallow Genetic Structure in a Connected and Ecologically Important Fish From the Northwestern Pacific Ocean","Fish","Engraulis japonicus","japanese anchovy","Pelagic","Water column","Inf",NA,"Least concern (IUCN)","Yes","North West Pacific","20; 29","Japan; Taiwan; China","RAD-seq","EcorI",389,"Lositan; Bayescan",12627,12621,"6","IBD",NA,NA,NA,NA,NA,NA,NA,"There was a marginal diferenciation between the samples from Taiwan (southest) and Jappan (Northest) likely due to oceanographic current limiting gene flow between these two samples. This difference was not detected by admixture model and no divergent loci were detected.","https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA602387",NA,23.6,40.26,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\fmars.2020.00374",NA
40,"Takeuchi T., Masaoka T., Aoki H., Koyanagi R., Fujie M., Satoh N.","10.1111/eva.12905","Divergent northern and southern populations and demographic history of the pearl oyster in the western Pacific revealed with genomic SNPs","Bivalve","Pinctada fucata","Pearl oyster","Benthic","Rock","14 - 21","10.1111/eva.12905",NA,"Yes","North West Pacific","20; 29","Japan, China, Cambodia, Myanmar","RAD-seq","HinfI",178,"Bayescan; PCADAPT; Outflank",36203,36137,"66","IBE","IBE","Yes","Mean sea surface temperature","Mean carbon dioxide concentration; Sea surface temperature spring; Sea surface temperature summer; Sea surface temperature autumn; Sea surface temperature winter; Sea surface oxygen spring; Sea surface oxygen summer; Sea surface oxygen autumn; Sea surface oxygen winter; Sea surface nitrate spring; Sea surface nitrate summer; Sea surface nitrate autumn; Sea surface nitrate winter; Sea surface phosphate spring; Sea surface phosphate summer; Sea surface phosphate autumn; Sea surface phosphate winter","NOAA World Ocean Database","RDA","cellular process; metabolic process; localization; biological regulation","The results indicate that the SST gradient is one of the major fac- tors affecting the distribution of P. fucata populations in the western Pacific. In fact, seawater temperature directly affects metabolic and physiological activity of pearl oysters.","https://datadryad.org/stash/dataset/doi:10.5061/dryad.qnk98sfbv",NA,12,37.17,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.12905",NA
41,"McKeown N.J., Carpi P., Silva J.F., Healey A.J.E., Shaw P.W., van der Kooij J.","10.1093/ICESJMS/FSAA113","Genetic population structure and tools for the management of European sprat (Sprattus sprattus)","Fish","Sprattus sprattus","European sprat","Pelagic","Water column","Inf",NA,"Least concern (IUCN)","Yes","North East Atlantic","3","England; Denmark; Netherlands; France","tGBS",NA,228,"Bayescan",4132,4063,"69","IBD","IBD",NA,NA,NA,NA,NA,NA,"Overall, all three data sets (all loci, neutral, out- liers) unanimously supported a lack of genetic structure within the NE Atlantic group and its differentiation from the BA-W sample. Furthermore, no outlier loci were detected among the NE Atlantic sprat that could indicate non-neutral structuring occurring against a background of neutral genetic inertia, as ob- served in some other species in the region. the di- vergence between the NE Atlantic and Baltic groups as being due to a combination of restricted dispersal and non-neutral pro- cesses, which likely include environmental selection on adaptive traits. Further",NA,NA,48.73,57.63,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\FSAA113",NA
42,"Hollenbeck C.M., Portnoy D.S., Gold J.R.","10.1002/ece3.4936","Evolution of population structure in an estuarine-dependent marine fish","Fish","Sciaenops ocellatus","red drum","Demersal","Water column",NA,NA,"Least concern (IUCN)","Yes","Gulf of Mexico","11","US","ddRAD-seq",NA,563,"Lositan; Bayescan; fdist",2860,2717,"143","IBD","IBD","Yes","Minimum oceanic salinity; higher oceanic dissolved inorganic phostphates; wind speed","Estuary area; Tidal Fresh zone area; Mixing zone area; saltwater zone area; Estuary depth; Estuary perimeter; Percent estuary open; catmencht area; Catchment mean elev; cathcment max elev; Total land cover; population; pop/estuary area; Total heigth; tide ratio; Stratification ratio; Percent freshwater; Percent mixed water; Mean salinity; Tidal exchange; tidal fresh water flush; Daily FW/ Est area; Mean daily precipitation; Mean daily evaporation; Flow; Air temperature mean; Air temperature std dev; Frost days; Wind speed; Sea surface temperature mean; Sea surface temperature std dv; Ocean salinity mean; Ocean salinity max; Ocean salinity mean; Oceanic DIP; Oceanic NO3; TSS; TN; TP","National Estuarine Eutrophication Assessment database","RDA","neuron development; postsyanptic membrane assembly; receptor clusterinf; cell adhesion; synapse assembly; regulation of neurogenesis","Cluster separation was observed with neutral and outliers loci, but it was more distinct in the outliers. However, a strong IBD was observed with the neutral locu, while IBD test with outlier was significant but weak. Analyses of neutral and outlier SNP‐containing loci revealed three genetically distinct, regional clusters of red drum: one in the Atlantic (ATL) and two in the Gulf. the significant positive correlation between di‐ vergence in outlier loci and geographic distance in the northern Gulf suggest that gene flow within regions may be impacted by localized selection driven by environmental/ecological differences operating at the scale of individual estuaries","https://www.ncbi.nlm.nih.gov/search/all/?term=PRJNA515285.","http://ian.umces.edu/neea/",26.6,32.9,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ece3.4936",NA
